input,label,initial_nl,numbering_system,command_type,complexity,tooth_numbers,tooth_count,command_count,has_surface,has_numerical_value,category,model_name,generation_method,refinement_model,refinement_applied,number_validation
"Then, we have a bridge from 17 to 18, and also from 17 to 21. Except for that, we have implants from 3 to 8, and from 16 to 19. All other teeth are normal, except for number 2, which has a fixture.","number 17, 18, bridge; number 17, number 21, bridge; number 3, number 8, implant; number 16, number 19, implant; number 2, fixture","number 17 and number 18 have a bridge, number 17 to number 21 have a bridge, number 3 to number 8 is an implant, number 16 to number 19 is an implant, number 2 has a fixture",UNS,multiple,high,"17, 18, 17, 21, 3, 8, 16, 19, 2",8,5,false,true,restoration,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,llama-3.1-8b-instant,true,simple_check
"Then we have 1, 3, 5, 8, 10, 12, 15, 19, 21, 23, 26, 28, 30, 31, 32 with pocket depths of 4, 4, 3, except 6, 7 with 6, 7, 4 and 27 with 6, 7, 6, all others are 4, 4, 3, then jump to 2, 4, 7, 9, 11, 13, 14, 16, 18, 20, 24, 25, 29 with probing depths of 4, 4, 3, and 17 with 5, 5, 4, and 22 with 5, 6, 4","number 1, pocket depth, 4 4 3; number 2, probing, 4 4 3; number 3, pocket depth, 4 4 3; number 4, probing, 4 4 3; number 5, probing, 4 4 3; number 6, pocket depth, 6 7 4; number 7, probing, 4 4 3; number 8, pocket depth, 4 4 3; number 9, probing, 4 4 3; number 10, pocket depth, 4 4 3; number 11, probing, 4 4 3; number 12, pocket depth, 4 4 3; number 13, probing, 4 4 3; number 14, probing, 4 4 3; number 15, pocket depth, 4 4 3; number 16, probing, 4 4 3; number 17, probing, 5 5 4; number 18, probing, 4 4 3; number 19, pocket depth, 4 4 3; number 20, probing, 4 4 3; number 21, pocket depth, 4 4 3; number 22, pocket depth, 5 6 4; number 23, pocket depth, 4 4 3; number 24, probing, 4 4 3; number 25, probing, 4 4 3; number 26, pocket depth, 4 4 3; number 27, pocket depth, 6 7 6; number 28, pocket depth, 4 4 3; number 29, probing, 4 4 3; number 30, pocket depth, 4 4 3; number 31, pocket depth, 4 4 3; number 32, pocket depth, 4 4 3","number 1 pocket depth 4 4 3, number 2 probing 4 4 3, number 3 pocket depth 4 4 3, number 4 probing 4 4 3, number 5 probing 4 4 3, number 6 pocket depth 6 7 4, number 7 probing 4 4 3, number 8 pocket depth 4 4 3, number 9 probing 4 4 3, number 10 pocket depth 4 4 3, number 11 probing 4 4 3, number 12 pocket depth 4 4 3, number 13 probing 4 4 3, number 14 probing 4 4 3, number 15 pocket depth 4 4 3, number 16 probing 4 4 3, number 17 probing 5 5 4, number 18 probing 4 4 3, number 19 pocket depth 4 4 3, number 20 probing 4 4 3, number 21 pocket depth 4 4 3, number 22 pocket depth 5 6 4, number 23 pocket depth 4 4 3, number 24 probing 4 4 3, number 25 probing 4 4 3, number 26 pocket depth 4 4 3, number 27 pocket depth 6 7 6, number 28 pocket depth 4 4 3, number 29 probing 4 4 3, number 30 pocket depth 4 4 3, number 31 pocket depth 4 4 3, number 32 pocket depth 4 4 3",UNS,multiple,high,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",32,32,false,true,probing,moonshotai/kimi-k2-instruct-0905,openrouter_llm,llama-3.3-70b-versatile,true,simple_check
"Nine lingual, two four four, ten same, eleven two four four, twelve jumps to two three four, thirteen back to two four four, fourteen buccal matching that, fifteen lingual again two four four, then sixteen all twos fours fours","number 9, lingual, pocket depth, 2 4 4; number 10, lingual, pocket depth, 2 4 4; number 11, pocket depth, 2 4 4; number 12, probing, 2 3 4; number 13, probing, 2 4 4; number 14, buccal, probing, 2 4 4; number 15, lingual, pocket depth, 2 4 4; number 16, probing, 2 4 4","number 9 lingual pocket depth 2 4 4, number 10 lingual pocket depth 2 4 4, number 11 pocket depth 2 4 4, number 12 probing 2 3 4, number 13 probing 2 4 4, number 14 buccal probing 2 4 4, number 15 lingual pocket depth 2 4 4, number 16 probing 2 4 4",UNS,multiple,high,"9, 10, 11, 12, 13, 14, 15, 16",8,8,true,true,probing,moonshotai/kimi-k2-instruct-0905,openrouter_llm,moonshotai/kimi-k2-instruct,true,simple_check
"Tooth 43, then a pontic at 45, also 45, an implant on 47, tooth 13, a fixture on 17, again 13, and a bridge at 15.","number 43, number 45, pontic; number 45, number 47, implant; number 13, number 17, fixture; number 13, number 15, bridge","number 43, number 45 pontic, number 45, number 47 implant, number 13, number 17 fixture, number 13, number 15 bridge",FDI,multiple,high,"43, 45, 45, 47, 13, 17, 13, 15",6,4,false,true,restoration,meta-llama/llama-4-scout-17b-16e-instruct,openrouter_llm,openai/gpt-oss-120b,true,simple_check
"6 probing 3 all around, 7 lingual 3 3 3, 8 pocket 2 then 3 then 2, 9 3 all around, 10 3 all around, 11 probing 3 all around, 12 lingual 3 all around, 13 pocket 4 then 5 then 4, 14 3 all around, 15 buccal 5 then 4 then 4, 16 pocket 2 then 3 then 2, 17 probing 3 all around","number 6, probing, 3 3 3; number 7, lingual, pocket depth, 3 3 3; number 8, pocket depth, 2 3 2; number 9, pocket depth, 3 3 3; number 10, pocket depth, 3 3 3; number 11, probing, 3 3 3; number 12, lingual, pocket depth, 3 3 3; number 13, pocket depth, 4 5 4; number 14, pocket depth, 3 3 3; number 15, buccal, pocket depth, 5 4 4; number 16, pocket depth, 2 3 2; number 17, probing, 3 3 3","number 6 probing 3 3 3, number 7 lingual pocket depth 3 3 3, number 8 pocket depth 2 3 2, number 9 pocket depth 3 3 3, number 10 pocket depth 3 3 3, number 11 probing 3 3 3, number 12 lingual pocket depth 3 3 3, number 13 pocket depth 4 5 4, number 14 pocket depth 3 3 3, number 15 buccal pocket depth 5 4 4, number 16 pocket depth 2 3 2, number 17 probing 3 3 3",UNS,multiple,high,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",12,12,true,true,probing,llama-3.3-70b-versatile,openrouter_llm,groq/compound,true,simple_check
"10 pocket 3 all around, 11 probing 4 then 4 then 5, 12 pocket 3 all around, 13 3 all around, 14 probing 3 all around, 15 probing 2 then 3 then 2, 16 buccal probing 3 all around, 17 pocket 3 then 3 then 2, 18 buccal probing 3 all around, 19 probing 3 all around, 20 probing 3 all around, 21 lingual 3 then 2 then 2, 22 3 all around, 23 probing 3 all around, 24 probing 3 all around, 25 lingual probing 3 all around, 26 lingual probing 3 all around, 27 probing 3 all around, 28 buccal probing 3 all around, 29 probing 3 all around, 30 pocket 3 then 3 then 2","number 10, pocket depth, 3 3 3; number 11, probing, 4 4 5; number 12, pocket depth, 3 3 3; number 13, pocket depth, 3 3 3; number 14, probing, 3 3 3; number 15, probing, 2 3 2; number 16, buccal, probing, 3 3 3; number 17, pocket depth, 3 3 2; number 18, buccal, probing, 3 3 3; number 19, probing, 3 3 3; number 20, probing, 3 3 3; number 21, lingual, pocket depth, 3 2 2; number 22, pocket depth, 3 3 3; number 23, probing, 3 3 3; number 24, probing, 3 3 3; number 25, lingual, probing, 3 3 3; number 26, lingual, probing, 3 3 3; number 27, probing, 3 3 3; number 28, buccal, probing, 3 3 3; number 29, probing, 3 3 3; number 30, pocket depth, 3 3 2","number 10 pocket depth 3 3 3, number 11 probing 4 4 5, number 12 pocket depth 3 3 3, number 13 pocket depth 3 3 3, number 14 probing 3 3 3, number 15 probing 2 3 2, number 16 buccal probing 3 3 3, number 17 pocket depth 3 3 2, number 18 buccal probing 3 3 3, number 19 probing 3 3 3, number 20 probing 3 3 3, number 21 lingual pocket depth 3 2 2, number 22 pocket depth 3 3 3, number 23 probing 3 3 3, number 24 probing 3 3 3, number 25 lingual probing 3 3 3, number 26 lingual probing 3 3 3, number 27 probing 3 3 3, number 28 buccal probing 3 3 3, number 29 probing 3 3 3, number 30 pocket depth 3 3 2",UNS,multiple,high,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",21,21,true,true,probing,llama-3.3-70b-versatile,openrouter_llm,groq/compound,true,simple_check
"Then we have implants at 11, 13, 14, and 18, fixtures at 24 and 27, crowns at 12, 23, and 26, and bridges at 15 and 16","number 11, number 14, implant; number 24, number 27, fixture; number 13, number 18, implant; number 23, number 26, crown; number 15, 16, bridge; number 12, crown","number 11 implant, number 14 implant, number 24 fixture, number 27 fixture, number 13 implant, number 18 implant, number 23 crown, number 26 crown, number 15 bridge, number 16 bridge, number 12 crown",FDI,multiple,high,"11, 14, 24, 27, 13, 18, 23, 26, 15, 16, 12",11,6,false,true,restoration,openai/gpt-oss-120b,openrouter_llm,llama-3.3-70b-versatile,true,simple_check
"43 and 46 are implants, then 21 and 26 are fixtures","number 43, number 46, implant; number 21, number 26, fixture; number 33, number 35, pontic; number 14, number 18, implant","number 43 and number 46 are implant, number 21 and number 26 are fixture, number 33 and number 35 are pontic, number 14 and number 18 are implant",FDI,multiple,high,"43, 46, 21, 26, 33, 35, 14, 18",8,4,false,true,restoration,meta-llama/llama-4-scout-17b-16e-instruct,openrouter_llm,moonshotai/kimi-k2-instruct,true,simple_check
"Three on three all around three, four same, five buccal three by three, six three flat, seven buccal three again, eight three, nine three, ten drops to two, eleven back to three, twelve buccal three-two-three, thirteen two, fourteen three, fifteen two-two-three, sixteen three, seventeen two, eighteen three, nineteen lingual four all, twenty three-two-two","number 3, pocket depth, 3 3 3; number 4, probing, 3 3 3; number 5, buccal, pocket depth, 3 3 3; number 6, pocket depth, 3 3 3; number 7, buccal, pocket depth, 3 3 3; number 8, pocket depth, 3 3 3; number 9, probing, 3 3 3; number 10, probing, 2 2 2; number 11, pocket depth, 3 3 3; number 12, buccal, pocket depth, 3 2 3; number 13, probing, 2 2 2; number 14, pocket depth, 3 3 3; number 15, pocket depth, 2 2 3; number 16, pocket depth, 3 3 3; number 17, probing, 2 2 2; number 18, probing, 3 3 3; number 19, lingual, pocket depth, 4 4 4; number 20, pocket depth, 3 2 2","number 3 pocket depth 3 3 3, number 4 probing 3 3 3, number 5 buccal pocket depth 3 3 3, number 6 pocket depth 3 3 3, number 7 buccal pocket depth 3 3 3, number 8 pocket depth 3 3 3, number 9 probing 3 3 3, number 10 probing 2 2 2, number 11 pocket depth 3 3 3, number 12 buccal pocket depth 3 2 3, number 13 probing 2 2 2, number 14 pocket depth 3 3 3, number 15 pocket depth 2 2 3, number 16 pocket depth 3 3 3, number 17 probing 2 2 2, number 18 probing 3 3 3, number 19 lingual pocket depth 4 4 4, number 20 pocket depth 3 2 2",UNS,multiple,high,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",18,18,true,true,probing,openai/gpt-oss-120b,openrouter_llm,moonshotai/kimi-k2-instruct,true,simple_check
"Jump to restorations: we have crowns on 26, 27, 45, 48, bridges on 32, 36, 41, 46, and pontics on 35, 37","number 26, 27, crown; number 41, number 46, bridge; number 35, number 37, pontic; number 32, number 36, bridge; number 45, number 48, crown","number 26 crown, number 27 crown, number 41 bridge, number 46 bridge, number 35 pontic, number 37 pontic, number 32 bridge, number 36 bridge, number 45 crown, number 48 crown",FDI,multiple,high,"26, 27, 41, 46, 35, 37, 32, 36, 45, 48",10,5,false,true,restoration,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,meta-llama/llama-4-maverick-17b-128e-instruct,true,simple_check
"Then we have teeth 11 through 17, all with pocket depths of 2, 3, 3, except 12, 14, 15, 16, and 18, which were probed, then jump to 21 through 27, same thing, all 2, 3, 3, then 28, also probed, next we have 31, 33, 35, with pocket depths of 2, 3, 3, while 32, 34, 36, and 37 were probed, then 38, with a pocket depth of 4, 7, 5, moving on to 41 through 43, and 45, 47, all with pocket depths of 2, 3, 3, except 44, with a pocket depth of 4, 7, 5, and 46, which was probed with the same measurements, and finally, 48, with a pocket depth of 2, 3, 3","number 11, pocket depth, 2 3 3; number 12, probing, 2 3 3; number 13, pocket depth, 2 3 3; number 14, probing, 2 3 3; number 15, probing, 2 3 3; number 16, probing, 2 3 3; number 17, pocket depth, 2 3 3; number 18, probing, 2 3 3; number 21, pocket depth, 2 3 3; number 22, probing, 2 3 3; number 23, probing, 2 3 3; number 24, probing, 2 3 3; number 25, probing, 2 3 3; number 26, probing, 2 3 3; number 27, pocket depth, 2 3 3; number 28, probing, 2 3 3; number 31, pocket depth, 2 3 3; number 32, probing, 2 3 3; number 33, pocket depth, 2 3 3; number 34, probing, 2 3 3; number 35, pocket depth, 2 3 3; number 36, probing, 2 3 3; number 37, probing, 2 3 3; number 38, pocket depth, 4 7 5; number 41, pocket depth, 2 3 3; number 42, pocket depth, 2 3 3; number 43, pocket depth, 2 3 3; number 44, pocket depth, 4 7 5; number 45, pocket depth, 2 3 3; number 46, probing, 4 7 5; number 47, pocket depth, 2 3 3; number 48, pocket depth, 2 3 3","number 11 pocket depth 2 3 3, number 12 probing 2 3 3, number 13 pocket depth 2 3 3, number 14 probing 2 3 3, number 15 probing 2 3 3, number 16 probing 2 3 3, number 17 pocket depth 2 3 3, number 18 probing 2 3 3, number 21 pocket depth 2 3 3, number 22 probing 2 3 3, number 23 probing 2 3 3, number 24 probing 2 3 3, number 25 probing 2 3 3, number 26 probing 2 3 3, number 27 pocket depth 2 3 3, number 28 probing 2 3 3, number 31 pocket depth 2 3 3, number 32 probing 2 3 3, number 33 pocket depth 2 3 3, number 34 probing 2 3 3, number 35 pocket depth 2 3 3, number 36 probing 2 3 3, number 37 probing 2 3 3, number 38 pocket depth 4 7 5, number 41 pocket depth 2 3 3, number 42 pocket depth 2 3 3, number 43 pocket depth 2 3 3, number 44 pocket depth 4 7 5, number 45 pocket depth 2 3 3, number 46 probing 4 7 5, number 47 pocket depth 2 3 3, number 48 pocket depth 2 3 3",FDI,multiple,high,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",32,32,false,true,probing,moonshotai/kimi-k2-instruct,openrouter_llm,llama-3.3-70b-versatile,true,simple_check
"Tooth 1: probing 3‑4‑3; tooth 2: probing 3‑4‑3; then tooth 3 has buccal and lingual mesial, middle, distal bleeding 1; tooth 4: probing 3‑4‑3; teeth 5, 6 and 7 each show pocket depths 3‑4‑3; jump to tooth 8 with probing 6‑7‑4; tooth 9: probing 3‑4‑3; tooth 10: pocket depth 3‑4‑3; tooth 11: pocket depth 5‑6‑5; tooth 12: probing 3‑4‑3; teeth 13 and 14: pocket depths 3‑4‑3; teeth 15 and 16: probing 3‑4‑3; teeth 17 through 21 each have pocket depth 3‑4‑3; tooth 22: probing 3‑4‑3; tooth 23: pocket depth 3‑4‑3; tooth 24: probing 3‑4‑3; tooth 25: pocket depth 3‑4‑3; teeth 26 and 27: probing 3‑4‑3; tooth 28: probing 4‑5‑4; tooth 29: probing 3‑4‑3; teeth 30, 31 and 32: pocket depths 3‑4‑3","number 1, probing, 3 4 3; number 2, probing, 3 4 3; number 3, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 3, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 4, probing, 3 4 3; number 5, pocket depth, 3 4 3; number 6, pocket depth, 3 4 3; number 7, pocket depth, 3 4 3; number 8, probing, 6 7 4; number 9, probing, 3 4 3; number 10, pocket depth, 3 4 3; number 11, pocket depth, 5 6 5; number 12, probing, 3 4 3; number 13, pocket depth, 3 4 3; number 14, pocket depth, 3 4 3; number 15, probing, 3 4 3; number 16, probing, 3 4 3; number 17, pocket depth, 3 4 3; number 18, pocket depth, 3 4 3; number 19, pocket depth, 3 4 3; number 20, pocket depth, 3 4 3; number 21, pocket depth, 3 4 3; number 22, probing, 3 4 3; number 23, pocket depth, 3 4 3; number 24, probing, 3 4 3; number 25, pocket depth, 3 4 3; number 26, probing, 3 4 3; number 27, probing, 3 4 3; number 28, probing, 4 5 4; number 29, probing, 3 4 3; number 30, pocket depth, 3 4 3; number 31, pocket depth, 3 4 3; number 32, pocket depth, 3 4 3","number 1 probing 3 4 3, number 2 probing 3 4 3, number 3 buccal mesial bleeding 1, middle bleeding 1, distal bleeding 1, number 3 lingual mesial bleeding 1, middle bleeding 1, distal bleeding 1, number 4 probing 3 4 3, number 5 pocket depth 3 4 3, number 6 pocket depth 3 4 3, number 7 pocket depth 3 4 3, number 8 probing 6 7 4, number 9 probing 3 4 3, number 10 pocket depth 3 4 3, number 11 pocket depth 5 6 5, number 12 probing 3 4 3, number 13 pocket depth 3 4 3, number 14 pocket depth 3 4 3, number 15 probing 3 4 3, number 16 probing 3 4 3, number 17 pocket depth 3 4 3, number 18 pocket depth 3 4 3, number 19 pocket depth 3 4 3, number 20 pocket depth 3 4 3, number 21 pocket depth 3 4 3, number 22 probing 3 4 3, number 23 pocket depth 3 4 3, number 24 probing 3 4 3, number 25 pocket depth 3 4 3, number 26 probing 3 4 3, number 27 probing 3 4 3, number 28 probing 4 5 4, number 29 probing 3 4 3, number 30 pocket depth 3 4 3, number 31 pocket depth 3 4 3, number 32 pocket depth 3 4 3",UNS,multiple,high,"1, 2, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",32,33,true,true,probing,gpt-oss-120b,openrouter_llm,openai/gpt-oss-120b,true,simple_check
"Starting at tooth 31, probing all three sites 3, 3, 3; then on the lingual of 32 we see depths 4, 5, 4; 33 shows 5, 5, 4; lingual 34: 3, 3, 3; buccal 35: 2, 3, 3; 36: 3, 3, 3; 37 probing 3, 2, 2; 38 pockets 5, 5, 5; 39: 3, 3, 3; 40: 3, 3, 3; 41 pockets 3, 2, 3; 42: 3, 3, 3; 43 probing 3, 2, 2; 44: 3, 3, 3; buccal 45 all 2, 2, 2; 46: 3, 3, 3; 47: 3, 3, 3; 48: 2, 2, 2; 49: 3, 3, 3; 50: 3, 3, 3; and 51: 3, 3, 3.","number 31, probing, 3 3 3; number 32, lingual, pocket depth, 4 5 4; number 33, pocket depth, 5 5 4; number 34, lingual, probing, 3 3 3; number 35, buccal, pocket depth, 2 3 3; number 36, pocket depth, 3 3 3; number 37, probing, 3 2 2; number 38, pocket depth, 5 5 5; number 39, probing, 3 3 3; number 40, probing, 3 3 3; number 41, pocket depth, 3 2 3; number 42, pocket depth, 3 3 3; number 43, probing, 3 2 2; number 44, probing, 3 3 3; number 45, buccal, probing, 2 2 2; number 46, pocket depth, 3 3 3; number 47, probing, 3 3 3; number 48, pocket depth, 2 2 2; number 49, pocket depth, 3 3 3; number 50, pocket depth, 3 3 3; number 51, pocket depth, 3 3 3","number 31 probing 3 3 3, number 32 lingual pocket depth 4 5 4, number 33 pocket depth 5 5 4, number 34 lingual probing 3 3 3, number 35 buccal pocket depth 2 3 3, number 36 pocket depth 3 3 3, number 37 probing 3 2 2, number 38 pocket depth 5 5 5, number 39 probing 3 3 3, number 40 probing 3 3 3, number 41 pocket depth 3 2 3, number 42 pocket depth 3 3 3, number 43 probing 3 2 2, number 44 probing 3 3 3, number 45 buccal probing 2 2 2, number 46 pocket depth 3 3 3, number 47 probing 3 3 3, number 48 pocket depth 2 2 2, number 49 pocket depth 3 3 3, number 50 pocket depth 3 3 3, number 51 pocket depth 3 3 3",FDI,multiple,high,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51",21,21,true,true,probing,openai/gpt-oss-120b,openrouter_llm,groq/compound-mini,true,simple_check
"Fixtures on 19 and 22, then bridges on 16 and 20, and implants at 11 and 14.","number 19, number 22, fixture; number 16, number 20, bridge; number 11, number 14, implant","number 19 fixture, number 22 fixture, number 16 bridge, number 20 bridge, number 11 implant, number 14 implant",UNS,multiple,high,"19, 22, 16, 20, 11, 14",6,3,false,true,restoration,groq/compound-mini,openrouter_llm,openai/gpt-oss-120b,true,simple_check
"Starting with tooth 31, pocket depths are all 5 mm; then tooth 32 lingual depths 5, 4, 4 mm; teeth 33, 34, 36, 41, 42, 44, 46, 47, 51 and 52 all show 3 mm probing or pocket depths; tooth 35 is 2 mm everywhere; teeth 37‑40 each have 3 mm pockets; tooth 43 probing 3, 2, 3 mm; tooth 45 lingual 3 mm; tooth 48 lingual 3, 2, 3 mm; tooth 49 lingual probing 3 mm; and tooth 50 pockets 2, 3, 3 mm","number 31, pocket depth, 5 5 5; number 32, lingual, pocket depth, 5 4 4; number 33, probing, 3 3 3; number 34, probing, 3 3 3; number 35, probing, 2 2 2; number 36, probing, 3 3 3; number 37, pocket depth, 3 3 3; number 38, pocket depth, 3 3 3; number 39, pocket depth, 3 3 3; number 40, pocket depth, 3 3 3; number 41, probing, 3 3 3; number 42, pocket depth, 3 3 3; number 43, probing, 3 2 3; number 44, pocket depth, 3 3 3; number 45, lingual, pocket depth, 3 3 3; number 46, buccal, pocket depth, 3 3 3; number 47, probing, 3 3 3; number 48, lingual, pocket depth, 3 2 3; number 49, lingual, probing, 3 3 3; number 50, pocket depth, 2 3 3; number 51, probing, 3 3 3; number 52, probing, 3 3 3","number 31 pocket depth 5 5 5, number 32 lingual pocket depth 5 4 4, number 33 probing 3 3 3, number 34 probing 3 3 3, number 35 probing 2 2 2, number 36 probing 3 3 3, number 37 pocket depth 3 3 3, number 38 pocket depth 3 3 3, number 39 pocket depth 3 3 3, number 40 pocket depth 3 3 3, number 41 probing 3 3 3, number 42 pocket depth 3 3 3, number 43 probing 3 2 3, number 44 pocket depth 3 3 3, number 45 lingual pocket depth 3 3 3, number 46 buccal pocket depth 3 3 3, number 47 probing 3 3 3, number 48 lingual pocket depth 3 2 3, number 49 lingual probing 3 3 3, number 50 pocket depth 2 3 3, number 51 probing 3 3 3, number 52 probing 3 3 3",FDI,multiple,high,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",22,22,true,true,probing,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,openai/gpt-oss-120b,true,simple_check
"31 starts 2-3-3, 32 flips 3-2-3, 33 lingual all threes, 34 buccal 4-5-4, 35-36 all threes, 37 ends 3-2-2, 38 3-3-2, 39 lingual threes, 40-41 all threes, 42 3-2-2, 43 4s across, 44 back to threes, 45 lingual 3-2-2, 46 4-4-5, 47 buccal threes, 48 lingual threes, 49-51 all threes, 52 lingual 2-3-2, 53 buccal threes, 54 lingual 5-4-4","number 31, probing, 2 3 3; number 32, probing, 3 2 3; number 33, lingual, pocket depth, 3 3 3; number 34, buccal, pocket depth, 4 5 4; number 35, pocket depth, 3 3 3; number 36, pocket depth, 3 3 3; number 37, pocket depth, 3 2 2; number 38, probing, 3 3 2; number 39, lingual, probing, 3 3 3; number 40, pocket depth, 3 3 3; number 41, lingual, pocket depth, 3 3 3; number 42, probing, 3 2 2; number 43, probing, 4 4 4; number 44, probing, 3 3 3; number 45, lingual, probing, 3 2 2; number 46, pocket depth, 4 4 5; number 47, buccal, probing, 3 3 3; number 48, lingual, probing, 3 3 3; number 49, probing, 3 3 3; number 50, pocket depth, 3 3 3; number 51, pocket depth, 3 3 3; number 52, lingual, probing, 2 3 2; number 53, buccal, probing, 3 3 3; number 54, lingual, probing, 5 4 4","number 31 probing 2 3 3, number 32 probing 3 2 3, number 33 lingual pocket depth 3 3 3, number 34 buccal pocket depth 4 5 4, number 35 pocket depth 3 3 3, number 36 pocket depth 3 3 3, number 37 pocket depth 3 2 2, number 38 probing 3 3 2, number 39 lingual probing 3 3 3, number 40 pocket depth 3 3 3, number 41 lingual pocket depth 3 3 3, number 42 probing 3 2 2, number 43 probing 4 4 4, number 44 probing 3 3 3, number 45 lingual probing 3 2 2, number 46 pocket depth 4 4 5, number 47 buccal probing 3 3 3, number 48 lingual probing 3 3 3, number 49 probing 3 3 3, number 50 pocket depth 3 3 3, number 51 pocket depth 3 3 3, number 52 lingual probing 2 3 2, number 53 buccal probing 3 3 3, number 54 lingual probing 5 4 4",FDI,multiple,high,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54",24,24,true,true,probing,moonshotai/kimi-k2-instruct-0905,openrouter_llm,moonshotai/kimi-k2-instruct,true,simple_check
"Then we have a pontic from 42 to 44, an implant from 44 to 48, a bridge from 41 to 44, and another pontic from 43 to 46","number 42, number 44, pontic; number 44, number 48, implant; number 41, number 44, bridge; number 43, number 46, pontic","number 42 number 44 pontic, number 44 number 48 implant, number 41 number 44 bridge, number 43 number 46 pontic",FDI,multiple,high,"42, 44, 44, 48, 41, 44, 43, 46",6,4,false,true,restoration,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,llama-3.3-70b-versatile,true,simple_check
"Then we have 13 lingual with pocket depths of 2, 3, 3, jump to 14 lingual with 3, 3, 3, all the way to 15, 16, and 17 with pocket depths of 3, 3, 3, except 16 has a 2 in the middle, then 18 has 3, 3, 3, and for the buccal side, 19 has 3, 3, 3, then we move to 20, 21, and 23 with probing depths of 3, 3, 3, except 21 is also buccal, and then we have 22 with 2, 2, 2, and finally 24 with 3, 3, 3","number 13, lingual, pocket depth, 2 3 3; number 14, lingual, pocket depth, 3 3 3; number 15, pocket depth, 3 3 3; number 16, pocket depth, 3 2 3; number 17, probing, 3 3 3; number 18, pocket depth, 3 3 3; number 19, buccal, pocket depth, 3 3 3; number 20, probing, 3 3 3; number 21, buccal, probing, 3 3 3; number 22, pocket depth, 2 2 2; number 23, probing, 3 3 3; number 24, pocket depth, 3 3 3","number 13 lingual pocket depth 2 3 3, number 14 lingual pocket depth 3 3 3, number 15 pocket depth 3 3 3, number 16 pocket depth 3 2 3, number 17 probing 3 3 3, number 18 pocket depth 3 3 3, number 19 buccal pocket depth 3 3 3, number 20 probing 3 3 3, number 21 buccal probing 3 3 3, number 22 pocket depth 2 2 2, number 23 probing 3 3 3, number 24 pocket depth 3 3 3",UNS,multiple,high,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",12,12,true,true,probing,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,llama-3.3-70b-versatile,true,simple_check
